Age,Gender,Average Weight (Kg),Average Height (cm),Level of Activity,bmr,Meal Type,Menu No,Recommended Calorie ,Recommended Total Carbohydrate(g),Recommended Carbohydrate (g),Serving Size
4,1,15.42,100.3,2,600.075,1,7,930.11625,104.6380781,30.34504266,1
4,2,16.33,102.3,2,787.675,1,1,1220.89625,137.3508281,39.83174016,1.3
4,2,16.33,102.3,2,787.675,1,2,1220.89625,137.3508281,39.83174016,1.2
4,2,16.33,102.3,2,787.675,1,3,1220.89625,137.3508281,39.83174016,1.5
4,2,16.33,102.3,2,787.675,1,4,1220.89625,137.3508281,39.83174016,1
4,2,16.33,102.3,2,787.675,1,5,1220.89625,137.3508281,39.83174016,1
4,2,16.33,102.3,2,787.675,1,6,1220.89625,137.3508281,39.83174016,1.6
4,2,16.33,102.3,2,787.675,1,7,1220.89625,137.3508281,39.83174016,1.3
4,1,15.42,100.3,3 ,600.075,1,1,1035.129375,116.4520547,33.77109586,1.1
4,1,15.42,100.3,3 ,600.075,1,2,1035.129375,116.4520547,33.77109586,1.1
4,1,15.42,100.3,3 ,600.075,1,3,1035.129375,116.4520547,33.77109586,1.3
4,1,15.42,100.3,3 ,600.075,1,4,1035.129375,116.4520547,33.77109586,0.9
4,1,15.42,100.3,3 ,600.075,1,5,1035.129375,116.4520547,33.77109586,0.8
4,1,15.42,100.3,3 ,600.075,1,6,1035.129375,116.4520547,33.77109586,1.4
4,1,15.42,100.3,3 ,600.075,1,7,1035.129375,116.4520547,33.77109586,1.1
4,2,16.33,102.3,3 ,787.675,1,1,1358.739375,152.8581797,44.32887211,1.5
4,2,16.33,102.3,3 ,787.675,1,2,1358.739375,152.8581797,44.32887211,1.4
4,2,16.33,102.3,3 ,787.675,1,3,1358.739375,152.8581797,44.32887211,1.7
4,2,16.33,102.3,3 ,787.675,1,4,1358.739375,152.8581797,44.32887211,1.2
4,2,16.33,102.3,3 ,787.675,1,5,1358.739375,152.8581797,44.32887211,1.1
4,2,16.33,102.3,3 ,787.675,1,6,1358.739375,152.8581797,44.32887211,1.8
4,2,16.33,102.3,3 ,787.675,1,7,1358.739375,152.8581797,44.32887211,1.5
5,1,17.92,107.9,1,667.575,1,1,917.915625,103.2655078,29.94699727,1
5,1,17.92,107.9,1,667.575,1,2,917.915625,103.2655078,29.94699727,0.9
5,1,17.92,107.9,1,667.575,1,3,917.915625,103.2655078,29.94699727,1.2
5,1,17.92,107.9,1,667.575,1,4,917.915625,103.2655078,29.94699727,0.8
5,1,17.92,107.9,1,667.575,1,5,917.915625,103.2655078,29.94699727,0.7
5,1,17.92,107.9,1,667.575,1,6,917.915625,103.2655078,29.94699727,1.2
5,1,17.92,107.9,1,667.575,1,7,917.915625,103.2655078,29.94699727,1
5,2,18.37,109.2,1,846.2,1,1,1163.525,130.8965625,37.96000313,1.3
5,2,18.37,109.2,1,846.2,1,2,1163.525,130.8965625,37.96000313,1.2
5,2,18.37,109.2,1,846.2,1,3,1163.525,130.8965625,37.96000313,1.5
5,2,18.37,109.2,1,846.2,1,4,1163.525,130.8965625,37.96000313,1
5,2,18.37,109.2,1,846.2,1,5,1163.525,130.8965625,37.96000313,0.9
5,2,18.37,109.2,1,846.2,1,6,1163.525,130.8965625,37.96000313,1.5
5,2,18.37,109.2,1,846.2,1,7,1163.525,130.8965625,37.96000313,1.3
5,1,17.92,107.9,2,667.575,1,1,1034.74125,116.4083906,33.75843328,1.1
5,1,17.92,107.9,2,667.575,1,2,1034.74125,116.4083906,33.75843328,1.1
5,1,17.92,107.9,2,667.575,1,3,1034.74125,116.4083906,33.75843328,1.3
5,1,17.92,107.9,2,667.575,1,4,1034.74125,116.4083906,33.75843328,0.9
5,1,17.92,107.9,2,667.575,1,5,1034.74125,116.4083906,33.75843328,0.8
5,1,17.92,107.9,2,667.575,1,6,1034.74125,116.4083906,33.75843328,1.4
5,1,17.92,107.9,2,667.575,1,7,1034.74125,116.4083906,33.75843328,1.1
5,2,18.37,109.2,2,846.2,1,1,1311.61,147.556125,42.79127625,1.4
5,2,18.37,109.2,2,846.2,1,2,1311.61,147.556125,42.79127625,1.3
5,2,18.37,109.2,2,846.2,1,3,1311.61,147.556125,42.79127625,1.6
5,2,18.37,109.2,2,846.2,1,4,1311.61,147.556125,42.79127625,1.1
5,2,18.37,109.2,2,846.2,1,5,1311.61,147.556125,42.79127625,1
5,2,18.37,109.2,2,846.2,1,6,1311.61,147.556125,42.79127625,1.7
5,2,18.37,109.2,2,846.2,1,7,1311.61,147.556125,42.79127625,1.4
5,1,17.92,107.9,3 ,667.575,1,1,1151.566875,129.5512734,37.5698693,1.3
5,1,17.92,107.9,3 ,667.575,1,2,1151.566875,129.5512734,37.5698693,1.2
5,1,17.92,107.9,3 ,667.575,1,3,1151.566875,129.5512734,37.5698693,1.4
5,1,17.92,107.9,3 ,667.575,1,4,1151.566875,129.5512734,37.5698693,1
5,1,17.92,107.9,3 ,667.575,1,5,1151.566875,129.5512734,37.5698693,0.9
5,1,17.92,107.9,3 ,667.575,1,6,1151.566875,129.5512734,37.5698693,1.5
5,1,17.92,107.9,3 ,667.575,1,7,1151.566875,129.5512734,37.5698693,1.3
5,2,18.37,109.2,3 ,846.2,1,1,1459.695,164.2156875,47.62254938,1.6
5,2,18.37,109.2,3 ,846.2,1,2,1459.695,164.2156875,47.62254938,1.5
5,2,18.37,109.2,3 ,846.2,1,3,1459.695,164.2156875,47.62254938,1.8
5,2,18.37,109.2,3 ,846.2,1,4,1459.695,164.2156875,47.62254938,1.3
5,2,18.37,109.2,3 ,846.2,1,5,1459.695,164.2156875,47.62254938,1.2
5,2,18.37,109.2,3 ,846.2,1,6,1459.695,164.2156875,47.62254938,1.9
5,2,18.37,109.2,3 ,846.2,1,7,1459.695,164.2156875,47.62254938,1.6
6,1,19.96,115.5,1,730.475,1,1,1004.403125,112.9953516,32.76865195,1.1
6,1,19.96,115.5,1,730.475,1,2,1004.403125,112.9953516,32.76865195,1
6,1,19.96,115.5,1,730.475,1,3,1004.403125,112.9953516,32.76865195,1.3
6,1,19.96,115.5,1,730.475,1,4,1004.403125,112.9953516,32.76865195,0.9
6,1,19.96,115.5,1,730.475,1,5,1004.403125,112.9953516,32.76865195,0.8
6,1,19.96,115.5,1,730.475,1,6,1004.403125,112.9953516,32.76865195,1.3
6,1,19.96,115.5,1,730.475,1,7,1004.403125,112.9953516,32.76865195,1.1
6,2,20.64,115.5,1,903.275,1,1,1242.003125,139.7253516,40.52035195,1.4
6,2,20.64,115.5,1,903.275,1,2,1242.003125,139.7253516,40.52035195,1.3
6,2,20.64,115.5,1,903.275,1,3,1242.003125,139.7253516,40.52035195,1.6
6,2,20.64,115.5,1,903.275,1,4,1242.003125,139.7253516,40.52035195,1.1
6,2,20.64,115.5,1,903.275,1,5,1242.003125,139.7253516,40.52035195,1
6,2,20.64,115.5,1,903.275,1,6,1242.003125,139.7253516,40.52035195,1.6
6,2,20.64,115.5,1,903.275,1,7,1242.003125,139.7253516,40.52035195,1.4
6,1,19.96,115.5,2,730.475,1,1,1132.23625,127.3765781,36.93920766,1.2
6,1,19.96,115.5,2,730.475,1,2,1132.23625,127.3765781,36.93920766,1.2
6,1,19.96,115.5,2,730.475,1,3,1132.23625,127.3765781,36.93920766,1.4
6,1,19.96,115.5,2,730.475,1,4,1132.23625,127.3765781,36.93920766,1
6,1,19.96,115.5,2,730.475,1,5,1132.23625,127.3765781,36.93920766,0.9
6,1,19.96,115.5,2,730.475,1,6,1132.23625,127.3765781,36.93920766,1.5
6,1,19.96,115.5,2,730.475,1,7,1132.23625,127.3765781,36.93920766,1.2
6,2,20.64,115.5,2,903.275,1,1,1400.07625,157.5085781,45.67748766,1.5
6,2,20.64,115.5,2,903.275,1,2,1400.07625,157.5085781,45.67748766,1.4
6,2,20.64,115.5,2,903.275,1,3,1400.07625,157.5085781,45.67748766,1.8
6,2,20.64,115.5,2,903.275,1,4,1400.07625,157.5085781,45.67748766,1.2
6,2,20.64,115.5,2,903.275,1,5,1400.07625,157.5085781,45.67748766,1.1
6,2,20.64,115.5,2,903.275,1,6,1400.07625,157.5085781,45.67748766,1.8
6,2,20.64,115.5,2,903.275,1,7,1400.07625,157.5085781,45.67748766,1.5
6,1,19.96,115.5,3 ,730.475,1,1,1260.069375,141.7578047,41.10976336,1.4
6,1,19.96,115.5,3 ,730.475,1,2,1260.069375,141.7578047,41.10976336,1.3
6,1,19.96,115.5,3 ,730.475,1,3,1260.069375,141.7578047,41.10976336,1.6
6,1,19.96,115.5,3 ,730.475,1,4,1260.069375,141.7578047,41.10976336,1.1
6,1,19.96,115.5,3 ,730.475,1,5,1260.069375,141.7578047,41.10976336,1
6,1,19.96,115.5,3 ,730.475,1,6,1260.069375,141.7578047,41.10976336,1.6
6,1,19.96,115.5,3 ,730.475,1,7,1260.069375,141.7578047,41.10976336,1.4
6,2,20.64,115.5,3 ,903.275,1,1,1558.149375,175.2918047,50.83462336,1.7
6,2,20.64,115.5,3 ,903.275,1,2,1558.149375,175.2918047,50.83462336,1.6
6,2,20.64,115.5,3 ,903.275,1,3,1558.149375,175.2918047,50.83462336,2
6,2,20.64,115.5,3 ,903.275,1,4,1558.149375,175.2918047,50.83462336,1.3
6,2,20.64,115.5,3 ,903.275,1,5,1558.149375,175.2918047,50.83462336,1.2
6,2,20.64,115.5,3 ,903.275,1,6,1558.149375,175.2918047,50.83462336,2
6,2,20.64,115.5,3 ,903.275,1,7,1558.149375,175.2918047,50.83462336,1.7
7,1,22.45,121.1,1,785.375,1,1,1079.890625,121.4876953,35.23143164,1.2
7,1,22.45,121.1,1,785.375,1,2,1079.890625,121.4876953,35.23143164,1.1
7,1,22.45,121.1,1,785.375,1,3,1079.890625,121.4876953,35.23143164,1.4
7,1,22.45,121.1,1,785.375,1,4,1079.890625,121.4876953,35.23143164,0.9
7,1,22.45,121.1,1,785.375,1,5,1079.890625,121.4876953,35.23143164,0.9
7,1,22.45,121.1,1,785.375,1,6,1079.890625,121.4876953,35.23143164,1.4
7,1,22.45,121.1,1,785.375,1,7,1079.890625,121.4876953,35.23143164,1.2
7,2,22.9,121.9,1,960.875,1,1,1321.203125,148.6353516,43.10425195,1.4
7,2,22.9,121.9,1,960.875,1,2,1321.203125,148.6353516,43.10425195,1.3
7,2,22.9,121.9,1,960.875,1,3,1321.203125,148.6353516,43.10425195,1.7
7,2,22.9,121.9,1,960.875,1,4,1321.203125,148.6353516,43.10425195,1.1
7,2,22.9,121.9,1,960.875,1,5,1321.203125,148.6353516,43.10425195,1.1
7,2,22.9,121.9,1,960.875,1,6,1321.203125,148.6353516,43.10425195,1.7
7,2,22.9,121.9,1,960.875,1,7,1321.203125,148.6353516,43.10425195,1.4
7,1,22.45,121.1,2,785.375,1,1,1217.33125,136.9497656,39.71543203,1.3
7,1,22.45,121.1,2,785.375,1,2,1217.33125,136.9497656,39.71543203,1.2
7,1,22.45,121.1,2,785.375,1,3,1217.33125,136.9497656,39.71543203,1.5
7,1,22.45,121.1,2,785.375,1,4,1217.33125,136.9497656,39.71543203,1
7,1,22.45,121.1,2,785.375,1,5,1217.33125,136.9497656,39.71543203,1
7,1,22.45,121.1,2,785.375,1,6,1217.33125,136.9497656,39.71543203,1.6
7,1,22.45,121.1,2,785.375,1,7,1217.33125,136.9497656,39.71543203,1.3
7,2,22.9,121.9,2,960.875,1,1,1489.35625,167.5525781,48.59024766,1.6
7,2,22.9,121.9,2,960.875,1,2,1489.35625,167.5525781,48.59024766,1.5
7,2,22.9,121.9,2,960.875,1,3,1489.35625,167.5525781,48.59024766,1.9
7,2,22.9,121.9,2,960.875,1,4,1489.35625,167.5525781,48.59024766,1.3
7,2,22.9,121.9,2,960.875,1,5,1489.35625,167.5525781,48.59024766,1.2
7,2,22.9,121.9,2,960.875,1,6,1489.35625,167.5525781,48.59024766,1.9
7,2,22.9,121.9,2,960.875,1,7,1489.35625,167.5525781,48.59024766,1.6
7,1,22.45,121.1,3 ,785.375,1,1,1354.771875,152.4118359,44.19943242,1.5
7,1,22.45,121.1,3 ,785.375,1,2,1354.771875,152.4118359,44.19943242,1.4
7,1,22.45,121.1,3 ,785.375,1,3,1354.771875,152.4118359,44.19943242,1.7
7,1,22.45,121.1,3 ,785.375,1,4,1354.771875,152.4118359,44.19943242,1.2
7,1,22.45,121.1,3 ,785.375,1,5,1354.771875,152.4118359,44.19943242,1.1
7,1,22.45,121.1,3 ,785.375,1,6,1354.771875,152.4118359,44.19943242,1.8
7,1,22.45,121.1,3 ,785.375,1,7,1354.771875,152.4118359,44.19943242,1.5
7,2,22.9,121.9,3 ,960.875,1,1,1657.509375,186.4698047,54.07624336,1.8
7,2,22.9,121.9,3 ,960.875,1,2,1657.509375,186.4698047,54.07624336,1.7
7,2,22.9,121.9,3 ,960.875,1,3,1657.509375,186.4698047,54.07624336,2.1
7,2,22.9,121.9,3 ,960.875,1,4,1657.509375,186.4698047,54.07624336,1.4
7,2,22.9,121.9,3 ,960.875,1,5,1657.509375,186.4698047,54.07624336,1.3
7,2,22.9,121.9,3 ,960.875,1,6,1657.509375,186.4698047,54.07624336,2.2
7,2,22.9,121.9,3 ,960.875,1,7,1657.509375,186.4698047,54.07624336,1.8
8,1,25.85,128.2,1,858.75,1,1,1180.78125,132.8378906,38.52298828,1.3
8,1,25.85,128.2,1,858.75,1,2,1180.78125,132.8378906,38.52298828,1.2
8,1,25.85,128.2,1,858.75,1,3,1180.78125,132.8378906,38.52298828,1.5
8,1,25.85,128.2,1,858.75,1,4,1180.78125,132.8378906,38.52298828,1
8,1,25.85,128.2,1,858.75,1,5,1180.78125,132.8378906,38.52298828,0.9
8,1,25.85,128.2,1,858.75,1,6,1180.78125,132.8378906,38.52298828,1.5
8,1,25.85,128.2,1,858.75,1,7,1180.78125,132.8378906,38.52298828,1.3
8,2,25.63,128,1,1021.3,1,1,1404.2875,157.9823438,45.81487969,1.5
8,2,25.63,128,1,1021.3,1,2,1404.2875,157.9823438,45.81487969,1.4
8,2,25.63,128,1,1021.3,1,3,1404.2875,157.9823438,45.81487969,1.8
8,2,25.63,128,1,1021.3,1,4,1404.2875,157.9823438,45.81487969,1.2
8,2,25.63,128,1,1021.3,1,5,1404.2875,157.9823438,45.81487969,1.1
8,2,25.63,128,1,1021.3,1,6,1404.2875,157.9823438,45.81487969,1.8
8,2,25.63,128,1,1021.3,1,7,1404.2875,157.9823438,45.81487969,1.5
8,1,25.85,128.2,2,858.75,1,1,1331.0625,149.7445313,43.42591406,1.4
8,1,25.85,128.2,2,858.75,1,2,1331.0625,149.7445313,43.42591406,1.4
8,1,25.85,128.2,2,858.75,1,3,1331.0625,149.7445313,43.42591406,1.7
8,1,25.85,128.2,2,858.75,1,4,1331.0625,149.7445313,43.42591406,1.1
8,1,25.85,128.2,2,858.75,1,5,1331.0625,149.7445313,43.42591406,1.1
8,1,25.85,128.2,2,858.75,1,6,1331.0625,149.7445313,43.42591406,1.7
8,1,25.85,128.2,2,858.75,1,7,1331.0625,149.7445313,43.42591406,1.4
8,2,25.63,128,2,1021.3,1,1,1583.015,178.0891875,51.64586438,1.7
8,2,25.63,128,2,1021.3,1,2,1583.015,178.0891875,51.64586438,1.6
8,2,25.63,128,2,1021.3,1,3,1583.015,178.0891875,51.64586438,2
8,2,25.63,128,2,1021.3,1,4,1583.015,178.0891875,51.64586438,1.4
8,2,25.63,128,2,1021.3,1,5,1583.015,178.0891875,51.64586438,1.3
8,2,25.63,128,2,1021.3,1,6,1583.015,178.0891875,51.64586438,2.1
8,2,25.63,128,2,1021.3,1,7,1583.015,178.0891875,51.64586438,1.7
8,1,25.85,128.2,3 ,858.75,1,1,1481.34375,166.6511719,48.32883984,1.6
8,1,25.85,128.2,3 ,858.75,1,2,1481.34375,166.6511719,48.32883984,1.5
8,1,25.85,128.2,3 ,858.75,1,3,1481.34375,166.6511719,48.32883984,1.9
8,1,25.85,128.2,3 ,858.75,1,4,1481.34375,166.6511719,48.32883984,1.3
8,1,25.85,128.2,3 ,858.75,1,5,1481.34375,166.6511719,48.32883984,1.2
8,1,25.85,128.2,3 ,858.75,1,6,1481.34375,166.6511719,48.32883984,1.9
8,1,25.85,128.2,3 ,858.75,1,7,1481.34375,166.6511719,48.32883984,1.6
8,2,25.63,128,3 ,1021.3,1,1,1761.7425,198.1960313,57.47684906,1.9
8,2,25.63,128,3 ,1021.3,1,2,1761.7425,198.1960313,57.47684906,1.8
8,2,25.63,128,3 ,1021.3,1,3,1761.7425,198.1960313,57.47684906,2.2
8,2,25.63,128,3 ,1021.3,1,4,1761.7425,198.1960313,57.47684906,1.5
8,2,25.63,128,3 ,1021.3,1,5,1761.7425,198.1960313,57.47684906,1.4
8,2,25.63,128,3 ,1021.3,1,6,1761.7425,198.1960313,57.47684906,2.3
8,2,25.63,128,3 ,1021.3,1,7,1761.7425,198.1960313,57.47684906,1.9
9,1,28.12,133.3,1,908.325,1,1,1248.946875,140.5065234,39.34182656,1.3
9,1,28.12,133.3,1,908.325,1,2,1248.946875,140.5065234,39.34182656,1.2
9,1,28.12,133.3,1,908.325,1,3,1248.946875,140.5065234,39.34182656,1.5
9,1,28.12,133.3,1,908.325,1,4,1248.946875,140.5065234,39.34182656,1
9,1,28.12,133.3,1,908.325,1,5,1248.946875,140.5065234,39.34182656,1
9,1,28.12,133.3,1,908.325,1,6,1248.946875,140.5065234,39.34182656,1.6
9,1,28.12,133.3,1,908.325,1,7,1248.946875,140.5065234,39.34182656,1.3
9,2,28.58,133.3,1,1078.925,1,1,1483.521875,166.8962109,46.73093906,1.6
9,2,28.58,133.3,1,1078.925,1,2,1483.521875,166.8962109,46.73093906,1.5
9,2,28.58,133.3,1,1078.925,1,3,1483.521875,166.8962109,46.73093906,1.8
9,2,28.58,133.3,1,1078.925,1,4,1483.521875,166.8962109,46.73093906,1.2
9,2,28.58,133.3,1,1078.925,1,5,1483.521875,166.8962109,46.73093906,1.1
9,2,28.58,133.3,1,1078.925,1,6,1483.521875,166.8962109,46.73093906,1.9
9,2,28.58,133.3,1,1078.925,1,7,1483.521875,166.8962109,46.73093906,1.6
9,1,28.12,133.3,2,908.325,1,1,1407.90375,158.3891719,44.34896813,1.5
9,1,28.12,133.3,2,908.325,1,2,1407.90375,158.3891719,44.34896813,1.4
9,1,28.12,133.3,2,908.325,1,3,1407.90375,158.3891719,44.34896813,1.7
9,1,28.12,133.3,2,908.325,1,4,1407.90375,158.3891719,44.34896813,1.2
9,1,28.12,133.3,2,908.325,1,5,1407.90375,158.3891719,44.34896813,1.1
9,1,28.12,133.3,2,908.325,1,6,1407.90375,158.3891719,44.34896813,1.8
9,1,28.12,133.3,2,908.325,1,7,1407.90375,158.3891719,44.34896813,1.5
9,2,28.58,133.3,2,1078.925,1,1,1672.33375,188.1375469,52.67851313,1.8
9,2,28.58,133.3,2,1078.925,1,2,1672.33375,188.1375469,52.67851313,1.6
9,2,28.58,133.3,2,1078.925,1,3,1672.33375,188.1375469,52.67851313,2
